Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose
12/18/2020,Indiana,88,,,
12/18/2020,Jefferson,98,,,
12/18/2020,Juniata,10,,,
05/21/2022,Erie,24,28,45,157
02/21/2022,Cumberland,49,72,77,
12/18/2020,Lawrence,41,,,
04/22/2021,Pike,152,408,,
06/19/2022,Luzerne,4,5,5,14
07/10/2021,Berks,233,351,,
12/18/2020,Mckean,5,,,
12/18/2020,Mercer,57,,,
12/18/2020,Mifflin,50,,,
12/18/2020,Montour,228,,,
12/18/2021,Lehigh,277,159,701,
04/17/2021,Lancaster,1943,4256,,
12/18/2020,Perry,3,,,
05/12/2022,Lycoming,12,21,8,84
12/18/2020,Pike,9,,,
12/18/2020,Potter,10,,,
12/18/2020,Schuylkill,119,,,
12/18/2020,Snyder,61,,,
12/18/2020,Somerset,84,,,
12/18/2020,Sullivan,1,,,
12/18/2020,Susquehanna,1,,,
12/18/2020,Tioga,3,,,
12/18/2020,Union,161,,,
05/06/2021,York,715,2201,,
12/18/2020,Warren,11,,,
06/25/2022,Monroe,7,7,8,12
05/10/2021,Lancaster,812,2539,,
12/18/2020,Westmoreland,639,,,
12/18/2020,Wyoming,4,,,
06/28/2022,Lawrence,8,10,7,18
07/05/2021,Jefferson,9,10,,
12/19/2020,Adams,9,,,
12/19/2020,Armstrong,22,,,
12/19/2020,Beaver,14,,,
12/19/2020,Bedford,3,,,
06/02/2022,Columbia,3,2,10,47
12/19/2020,Blair,48,,,
12/19/2020,Bradford,49,,,
07/03/2022,Lebanon,1,2,6,7
01/28/2022,Lackawanna,117,111,213,
12/19/2020,Cambria,20,,,
12/19/2020,Carbon,34,,,
12/19/2020,Centre,156,,,
11/29/2021,Lackawanna,198,372,702,
12/19/2020,Clarion,20,,,
12/19/2020,Clearfield,27,,,
12/19/2020,Clinton,14,,,
12/19/2020,Columbia,90,,,
02/26/2021,Luzerne,1355,1502,,
06/23/2021,Adams,102,147,,
12/19/2020,Elk,1,,,
12/19/2020,Fayette,105,,,
12/19/2020,Forest,4,,,
12/19/2020,Franklin,128,,,
12/19/2020,Greene,1,,,
12/19/2020,Huntingdon,10,,,
12/19/2020,Indiana,31,,,
12/19/2020,Jefferson,4,,,
12/19/2020,Juniata,2,,,
12/19/2020,Lackawanna,99,,,
05/04/2022,Schuylkill,10,20,30,194
12/19/2020,Lawrence,10,,,
02/18/2021,Somerset,162,158,,
12/04/2021,Lancaster,399,734,895,
02/05/2021,Bradford,202,45,,
04/18/2021,Berks,961,1391,,
12/19/2020,Mifflin,25,,,
12/19/2020,Monroe,53,,,
12/19/2020,Montour,214,,,
02/04/2022,Montgomery,376,450,644,
05/06/2021,Northumberland,96,279,,
12/19/2020,Pike,3,,,
12/19/2020,Potter,1,,,
12/19/2020,Schuylkill,30,,,
12/19/2020,Snyder,13,,,
12/19/2020,Somerset,11,,,
12/19/2020,Susquehanna,4,,,
12/19/2020,Tioga,4,,,
05/28/2022,Cambria,5,7,7,27
12/19/2020,Venango,41,,,
12/19/2020,Warren,14,,,
10/13/2021,Somerset,21,29,113,
12/19/2020,Wayne,11,,,
02/19/2022,Cambria,13,18,11,
12/19/2020,Wyoming,5,,,
04/05/2022,Carbon,11,38,17,62
11/17/2021,Adams,127,27,261,
12/20/2020,Adams,12,,,
06/04/2022,Allegheny,95,117,176,364
12/20/2020,Armstrong,9,,,
02/17/2022,Allegheny,286,335,455,
05/23/2022,Elk,4,,6,13
12/20/2020,Blair,7,,,
10/23/2021,Cameron,4,3,33,
